result_id,student_id,exam_type,department,subject_scores,pass_or_fail
1,1,WASSCE,Science,"{'Mathematics': 49, 'English': 54, 'Physics': 65, 'Chemistry': 53, 'Biology': 63, 'Agricultural Science': 52, 'Computer Science': 75, 'Civic Education': 44, 'Yoruba': 76}",Fail
2,2,WASSCE,Science,"{'Mathematics': 50, 'English': 51, 'Physics': 51, 'Chemistry': 63, 'Agricultural Science': 63, 'Fisheries': 68, 'Economics': 47, 'Visual Art': 45}",Pass
3,3,WASSCE,Science,"{'Mathematics': 59, 'English': 53, 'Physics': 49, 'Chemistry': 49, 'Agricultural Science': 59, 'Computer Science': 35, 'Civic Education': 55, 'Further Mathematics': 61, 'Yoruba': 51}",Pass
4,4,WASSCE,Science,"{'Mathematics': 45, 'English': 53, 'Physics': 60, 'Chemistry': 46, 'Agricultural Science': 48, 'Computer Science': 47, 'Data Processing': 54, 'Visual Art': 51}",Fail
5,5,WASSCE,Science,"{'Mathematics': 64, 'English': 66, 'Physics': 64, 'Chemistry': 61, 'Biology': 44, 'Computer Science': 70, 'Fisheries': 56, 'Data Processing': 60, 'Yoruba': 56}",Pass
6,6,WASSCE,Science,"{'Mathematics': 68, 'English': 63, 'Physics': 56, 'Chemistry': 56, 'Biology': 76, 'Data Processing': 57, 'Yoruba': 56}",Pass
7,7,WASSCE,Science,"{'Mathematics': 70, 'English': 51, 'Physics': 54, 'Chemistry': 55, 'Biology': 72, 'Computer Science': 37, 'Civic Education': 64, 'Fisheries': 49, 'Data Processing': 55}",Pass
8,8,WASSCE,Science,"{'Mathematics': 67, 'English': 50, 'Physics': 46, 'Chemistry': 73, 'Biology': 59, 'Civic Education': 47, 'Economics': 42, 'Data Processing': 45, 'Further Mathematics': 53}",Fail
9,9,WASSCE,Science,"{'Mathematics': 61, 'English': 52, 'Physics': 55, 'Chemistry': 52, 'Computer Science': 57, 'Civic Education': 43, 'Data Processing': 53, 'Visual Art': 56, 'Yoruba': 46}",Pass
10,10,WASSCE,Science,"{'Mathematics': 72, 'English': 55, 'Physics': 50, 'Chemistry': 47, 'Civic Education': 47, 'Visual Art': 52, 'Further Mathematics': 63}",Fail
