record_id,student_id,department,subject_scores,attendance_rate
1,1,Science,"{""Term_1"": {""Mathematics"": 39, ""English"": 47, ""Physics"": 60, ""Chemistry"": 61, ""Agricultural Science"": 70, ""Yoruba"": 87, ""Civic Education"": 51, ""Biology"": 70, ""Computer Science"": 64, ""Data Processing"": 62}, ""Term_2"": {""Mathematics"": 63, ""English"": 62, ""Physics"": 90, ""Chemistry"": 66, ""Agricultural Science"": 42, ""Yoruba"": 94, ""Civic Education"": 58, ""Biology"": 83, ""Computer Science"": 61, ""Data Processing"": 58}, ""Term_3"": {""Mathematics"": 61, ""English"": 60, ""Physics"": 69, ""Chemistry"": 31, ""Agricultural Science"": 56, ""Yoruba"": 82, ""Civic Education"": 69, ""Biology"": 66, ""Computer Science"": 36, ""Data Processing"": 58}, ""Term_4"": {""Mathematics"": 64, ""English"": 64, ""Physics"": 67, ""Chemistry"": 35, ""Agricultural Science"": 64, ""Yoruba"": 97, ""Civic Education"": 51, ""Biology"": 82, ""Computer Science"": 68, ""Data Processing"": 61}, ""Term_5"": {""Mathematics"": 54, ""English"": 30, ""Physics"": 65, ""Chemistry"": 61, ""Agricultural Science"": 35, ""Yoruba"": 33, ""Civic Education"": 63, ""Biology"": 70, ""Computer Science"": 60, ""Data Processing"": 51}, ""Term_6"": {""Mathematics"": 32, ""English"": 44, ""Physics"": 55, ""Chemistry"": 70, ""Agricultural Science"": 63, ""Yoruba"": 36, ""Civic Education"": 33, ""Biology"": 49, ""Computer Science"": 94, ""Data Processing"": 68}, ""Term_7"": {""Mathematics"": 65, ""English"": 60, ""Physics"": 53, ""Chemistry"": 52, ""Agricultural Science"": 65, ""Yoruba"": 61, ""Civic Education"": 53, ""Biology"": 63, ""Computer Science"": 68, ""Data Processing"": 61}, ""Term_8"": {""Mathematics"": 35, ""English"": 64, ""Physics"": 69, ""Chemistry"": 52, ""Agricultural Science"": 46, ""Yoruba"": 80, ""Civic Education"": 37, ""Biology"": 80, ""Computer Science"": 93, ""Data Processing"": 67}}",73.72
2,2,Science,"{""Term_1"": {""Mathematics"": 32, ""English"": 64, ""Physics"": 67, ""Chemistry"": 69, ""Fisheries"": 56, ""Agricultural Science"": 39, ""Economics"": 51, ""Visual Art"": 66, ""Data Processing"": 61}, ""Term_2"": {""Mathematics"": 92, ""English"": 62, ""Physics"": 37, ""Chemistry"": 51, ""Fisheries"": 48, ""Agricultural Science"": 52, ""Economics"": 62, ""Visual Art"": 47, ""Data Processing"": 50}, ""Term_3"": {""Mathematics"": 53, ""English"": 42, ""Physics"": 53, ""Chemistry"": 87, ""Fisheries"": 58, ""Agricultural Science"": 53, ""Economics"": 50, ""Visual Art"": 32, ""Data Processing"": 66}, ""Term_4"": {""Mathematics"": 50, ""English"": 52, ""Physics"": 40, ""Chemistry"": 59, ""Fisheries"": 45, ""Agricultural Science"": 34, ""Economics"": 38, ""Visual Art"": 47, ""Data Processing"": 65}, ""Term_5"": {""Mathematics"": 55, ""English"": 68, ""Physics"": 30, ""Chemistry"": 51, ""Fisheries"": 67, ""Agricultural Science"": 48, ""Economics"": 44, ""Visual Art"": 68, ""Data Processing"": 66}, ""Term_6"": {""Mathematics"": 51, ""English"": 38, ""Physics"": 63, ""Chemistry"": 54, ""Fisheries"": 97, ""Agricultural Science"": 92, ""Economics"": 51, ""Visual Art"": 81, ""Data Processing"": 67}, ""Term_7"": {""Mathematics"": 60, ""English"": 86, ""Physics"": 34, ""Chemistry"": 57, ""Fisheries"": 50, ""Agricultural Science"": 42, ""Economics"": 60, ""Visual Art"": 66, ""Data Processing"": 56}, ""Term_8"": {""Mathematics"": 51, ""English"": 30, ""Physics"": 66, ""Chemistry"": 68, ""Fisheries"": 59, ""Agricultural Science"": 65, ""Economics"": 55, ""Visual Art"": 31, ""Data Processing"": 64}}",83.69
3,3,Science,"{""Term_1"": {""Mathematics"": 65, ""English"": 98, ""Physics"": 30, ""Chemistry"": 69, ""Computer Science"": 68, ""Agricultural Science"": 69, ""Civic Education"": 66, ""Further Mathematics"": 66, ""Yoruba"": 66, ""Data Processing"": 50}, ""Term_2"": {""Mathematics"": 91, ""English"": 50, ""Physics"": 67, ""Chemistry"": 65, ""Computer Science"": 50, ""Agricultural Science"": 34, ""Civic Education"": 61, ""Further Mathematics"": 42, ""Yoruba"": 60, ""Data Processing"": 65}, ""Term_3"": {""Mathematics"": 55, ""English"": 47, ""Physics"": 50, ""Chemistry"": 50, ""Computer Science"": 51, ""Agricultural Science"": 67, ""Civic Education"": 63, ""Further Mathematics"": 55, ""Yoruba"": 54, ""Data Processing"": 59}, ""Term_4"": {""Mathematics"": 46, ""English"": 65, ""Physics"": 52, ""Chemistry"": 50, ""Computer Science"": 60, ""Agricultural Science"": 68, ""Civic Education"": 85, ""Further Mathematics"": 69, ""Yoruba"": 57, ""Data Processing"": 70}, ""Term_5"": {""Mathematics"": 57, ""English"": 60, ""Physics"": 50, ""Chemistry"": 55, ""Computer Science"": 52, ""Agricultural Science"": 50, ""Civic Education"": 41, ""Further Mathematics"": 70, ""Yoruba"": 36, ""Data Processing"": 67}, ""Term_6"": {""Mathematics"": 55, ""English"": 88, ""Physics"": 54, ""Chemistry"": 59, ""Computer Science"": 50, ""Agricultural Science"": 47, ""Civic Education"": 61, ""Further Mathematics"": 66, ""Yoruba"": 37, ""Data Processing"": 70}, ""Term_7"": {""Mathematics"": 50, ""English"": 52, ""Physics"": 70, ""Chemistry"": 55, ""Computer Science"": 40, ""Agricultural Science"": 62, ""Civic Education"": 58, ""Further Mathematics"": 49, ""Yoruba"": 87, ""Data Processing"": 62}, ""Term_8"": {""Mathematics"": 43, ""English"": 63, ""Physics"": 55, ""Chemistry"": 66, ""Computer Science"": 50, ""Agricultural Science"": 51, ""Civic Education"": 69, ""Further Mathematics"": 87, ""Yoruba"": 30, ""Data Processing"": 59}}",93.88
4,4,Science,"{""Term_1"": {""Mathematics"": 32, ""English"": 47, ""Physics"": 36, ""Chemistry"": 40, ""Data Processing"": 51, ""Computer Science"": 62, ""Visual Art"": 32, ""Agricultural Science"": 48}, ""Term_2"": {""Mathematics"": 67, ""English"": 53, ""Physics"": 68, ""Chemistry"": 40, ""Data Processing"": 50, ""Computer Science"": 30, ""Visual Art"": 30, ""Agricultural Science"": 59}, ""Term_3"": {""Mathematics"": 39, ""English"": 95, ""Physics"": 57, ""Chemistry"": 46, ""Data Processing"": 56, ""Computer Science"": 51, ""Visual Art"": 70, ""Agricultural Science"": 61}, ""Term_4"": {""Mathematics"": 37, ""English"": 35, ""Physics"": 61, ""Chemistry"": 36, ""Data Processing"": 63, ""Computer Science"": 55, ""Visual Art"": 53, ""Agricultural Science"": 48}, ""Term_5"": {""Mathematics"": 47, ""English"": 62, ""Physics"": 32, ""Chemistry"": 53, ""Data Processing"": 56, ""Computer Science"": 50, ""Visual Art"": 59, ""Agricultural Science"": 44}, ""Term_6"": {""Mathematics"": 65, ""English"": 35, ""Physics"": 50, ""Chemistry"": 58, ""Data Processing"": 56, ""Computer Science"": 88, ""Visual Art"": 31, ""Agricultural Science"": 32}, ""Term_7"": {""Mathematics"": 40, ""English"": 42, ""Physics"": 57, ""Chemistry"": 30, ""Data Processing"": 62, ""Computer Science"": 42, ""Visual Art"": 35, ""Agricultural Science"": 91}, ""Term_8"": {""Mathematics"": 62, ""English"": 63, ""Physics"": 70, ""Chemistry"": 61, ""Data Processing"": 59, ""Computer Science"": 32, ""Visual Art"": 86, ""Agricultural Science"": 61}}",69.35
5,5,Science,"{""Term_1"": {""Mathematics"": 50, ""English"": 63, ""Physics"": 69, ""Chemistry"": 67, ""Data Processing"": 54, ""Biology"": 41, ""Yoruba"": 85, ""Fisheries"": 64, ""Computer Science"": 63}, ""Term_2"": {""Mathematics"": 50, ""English"": 33, ""Physics"": 38, ""Chemistry"": 57, ""Data Processing"": 65, ""Biology"": 90, ""Yoruba"": 32, ""Fisheries"": 69, ""Computer Science"": 88}, ""Term_3"": {""Mathematics"": 64, ""English"": 62, ""Physics"": 93, ""Chemistry"": 30, ""Data Processing"": 63, ""Biology"": 33, ""Yoruba"": 57, ""Fisheries"": 64, ""Computer Science"": 61}, ""Term_4"": {""Mathematics"": 59, ""English"": 53, ""Physics"": 65, ""Chemistry"": 61, ""Data Processing"": 57, ""Biology"": 44, ""Yoruba"": 64, ""Fisheries"": 34, ""Computer Science"": 60}, ""Term_5"": {""Mathematics"": 62, ""English"": 61, ""Physics"": 56, ""Chemistry"": 57, ""Data Processing"": 62, ""Biology"": 42, ""Yoruba"": 52, ""Fisheries"": 55, ""Computer Science"": 68}, ""Term_6"": {""Mathematics"": 66, ""English"": 31, ""Physics"": 64, ""Chemistry"": 45, ""Data Processing"": 50, ""Biology"": 58, ""Yoruba"": 66, ""Fisheries"": 30, ""Computer Science"": 81}, ""Term_7"": {""Mathematics"": 50, ""English"": 61, ""Physics"": 35, ""Chemistry"": 58, ""Data Processing"": 50, ""Biology"": 66, ""Yoruba"": 95, ""Fisheries"": 45, ""Computer Science"": 40}, ""Term_8"": {""Mathematics"": 56, ""English"": 98, ""Physics"": 56, ""Chemistry"": 95, ""Data Processing"": 54, ""Biology"": 63, ""Yoruba"": 47, ""Fisheries"": 66, ""Computer Science"": 70}}",81.67
6,6,Science,"{""Term_1"": {""Mathematics"": 52, ""English"": 80, ""Physics"": 86, ""Chemistry"": 56, ""Yoruba"": 35, ""Data Processing"": 61, ""Biology"": 50}, ""Term_2"": {""Mathematics"": 66, ""English"": 98, ""Physics"": 33, ""Chemistry"": 86, ""Yoruba"": 69, ""Data Processing"": 52, ""Biology"": 61}, ""Term_3"": {""Mathematics"": 58, ""English"": 36, ""Physics"": 30, ""Chemistry"": 46, ""Yoruba"": 34, ""Data Processing"": 53, ""Biology"": 60}, ""Term_4"": {""Mathematics"": 50, ""English"": 45, ""Physics"": 43, ""Chemistry"": 92, ""Yoruba"": 95, ""Data Processing"": 57, ""Biology"": 47}, ""Term_5"": {""Mathematics"": 65, ""English"": 65, ""Physics"": 53, ""Chemistry"": 91, ""Yoruba"": 53, ""Data Processing"": 53, ""Biology"": 42}, ""Term_6"": {""Mathematics"": 47, ""English"": 70, ""Physics"": 31, ""Chemistry"": 52, ""Yoruba"": 36, ""Data Processing"": 56, ""Biology"": 62}, ""Term_7"": {""Mathematics"": 59, ""English"": 63, ""Physics"": 50, ""Chemistry"": 31, ""Yoruba"": 87, ""Data Processing"": 67, ""Biology"": 43}, ""Term_8"": {""Mathematics"": 84, ""English"": 99, ""Physics"": 60, ""Chemistry"": 64, ""Yoruba"": 91, ""Data Processing"": 51, ""Biology"": 69}}",79.47
7,7,Science,"{""Term_1"": {""Mathematics"": 49, ""English"": 53, ""Physics"": 54, ""Chemistry"": 59, ""Fisheries"": 55, ""Data Processing"": 54, ""Biology"": 61, ""Computer Science"": 49, ""Civic Education"": 45}, ""Term_2"": {""Mathematics"": 83, ""English"": 50, ""Physics"": 92, ""Chemistry"": 47, ""Fisheries"": 57, ""Data Processing"": 64, ""Biology"": 51, ""Computer Science"": 40, ""Civic Education"": 48}, ""Term_3"": {""Mathematics"": 50, ""English"": 53, ""Physics"": 54, ""Chemistry"": 53, ""Fisheries"": 37, ""Data Processing"": 67, ""Biology"": 91, ""Computer Science"": 63, ""Civic Education"": 69}, ""Term_4"": {""Mathematics"": 53, ""English"": 50, ""Physics"": 58, ""Chemistry"": 70, ""Fisheries"": 87, ""Data Processing"": 66, ""Biology"": 68, ""Computer Science"": 43, ""Civic Education"": 80}, ""Term_5"": {""Mathematics"": 62, ""English"": 55, ""Physics"": 32, ""Chemistry"": 70, ""Fisheries"": 68, ""Data Processing"": 51, ""Biology"": 51, ""Computer Science"": 38, ""Civic Education"": 61}, ""Term_6"": {""Mathematics"": 83, ""English"": 36, ""Physics"": 30, ""Chemistry"": 56, ""Fisheries"": 62, ""Data Processing"": 58, ""Biology"": 90, ""Computer Science"": 42, ""Civic Education"": 35}, ""Term_7"": {""Mathematics"": 54, ""English"": 51, ""Physics"": 39, ""Chemistry"": 65, ""Fisheries"": 57, ""Data Processing"": 64, ""Biology"": 59, ""Computer Science"": 34, ""Civic Education"": 64}, ""Term_8"": {""Mathematics"": 65, ""English"": 53, ""Physics"": 60, ""Chemistry"": 69, ""Fisheries"": 30, ""Data Processing"": 51, ""Biology"": 40, ""Computer Science"": 59, ""Civic Education"": 61}}",87.27
8,8,Science,"{""Term_1"": {""Mathematics"": 93, ""English"": 49, ""Physics"": 44, ""Chemistry"": 50, ""Data Processing"": 69, ""Further Mathematics"": 33, ""Civic Education"": 51, ""Biology"": 95, ""Economics"": 62}, ""Term_2"": {""Mathematics"": 34, ""English"": 96, ""Physics"": 47, ""Chemistry"": 85, ""Data Processing"": 68, ""Further Mathematics"": 56, ""Civic Education"": 62, ""Biology"": 34, ""Economics"": 32}, ""Term_3"": {""Mathematics"": 53, ""English"": 46, ""Physics"": 34, ""Chemistry"": 50, ""Data Processing"": 68, ""Further Mathematics"": 83, ""Civic Education"": 42, ""Biology"": 30, ""Economics"": 41}, ""Term_4"": {""Mathematics"": 82, ""English"": 45, ""Physics"": 50, ""Chemistry"": 45, ""Data Processing"": 51, ""Further Mathematics"": 51, ""Civic Education"": 66, ""Biology"": 52, ""Economics"": 40}, ""Term_5"": {""Mathematics"": 30, ""English"": 64, ""Physics"": 50, ""Chemistry"": 55, ""Data Processing"": 68, ""Further Mathematics"": 60, ""Civic Education"": 43, ""Biology"": 81, ""Economics"": 56}, ""Term_6"": {""Mathematics"": 65, ""English"": 50, ""Physics"": 58, ""Chemistry"": 69, ""Data Processing"": 50, ""Further Mathematics"": 37, ""Civic Education"": 48, ""Biology"": 49, ""Economics"": 44}, ""Term_7"": {""Mathematics"": 34, ""English"": 40, ""Physics"": 93, ""Chemistry"": 40, ""Data Processing"": 62, ""Further Mathematics"": 51, ""Civic Education"": 86, ""Biology"": 90, ""Economics"": 53}, ""Term_8"": {""Mathematics"": 87, ""English"": 49, ""Physics"": 34, ""Chemistry"": 48, ""Data Processing"": 68, ""Further Mathematics"": 86, ""Civic Education"": 32, ""Biology"": 97, ""Economics"": 37}}",66.32
9,9,Science,"{""Term_1"": {""Mathematics"": 54, ""English"": 54, ""Physics"": 43, ""Chemistry"": 65, ""Data Processing"": 60, ""Computer Science"": 97, ""Civic Education"": 58, ""Visual Art"": 95, ""Yoruba"": 62}, ""Term_2"": {""Mathematics"": 89, ""English"": 60, ""Physics"": 97, ""Chemistry"": 47, ""Data Processing"": 69, ""Computer Science"": 80, ""Civic Education"": 59, ""Visual Art"": 34, ""Yoruba"": 70}, ""Term_3"": {""Mathematics"": 51, ""English"": 50, ""Physics"": 63, ""Chemistry"": 32, ""Data Processing"": 62, ""Computer Science"": 34, ""Civic Education"": 43, ""Visual Art"": 32, ""Yoruba"": 39}, ""Term_4"": {""Mathematics"": 54, ""English"": 59, ""Physics"": 68, ""Chemistry"": 83, ""Data Processing"": 58, ""Computer Science"": 62, ""Civic Education"": 34, ""Visual Art"": 42, ""Yoruba"": 62}, ""Term_5"": {""Mathematics"": 60, ""English"": 56, ""Physics"": 47, ""Chemistry"": 86, ""Data Processing"": 55, ""Computer Science"": 38, ""Civic Education"": 53, ""Visual Art"": 44, ""Yoruba"": 37}, ""Term_6"": {""Mathematics"": 54, ""English"": 54, ""Physics"": 50, ""Chemistry"": 63, ""Data Processing"": 51, ""Computer Science"": 32, ""Civic Education"": 36, ""Visual Art"": 30, ""Yoruba"": 37}, ""Term_7"": {""Mathematics"": 53, ""English"": 46, ""Physics"": 50, ""Chemistry"": 66, ""Data Processing"": 60, ""Computer Science"": 90, ""Civic Education"": 83, ""Visual Art"": 46, ""Yoruba"": 30}, ""Term_8"": {""Mathematics"": 98, ""English"": 54, ""Physics"": 60, ""Chemistry"": 53, ""Data Processing"": 52, ""Computer Science"": 32, ""Civic Education"": 38, ""Visual Art"": 83, ""Yoruba"": 45}}",62.44
10,10,Science,"{""Term_1"": {""Mathematics"": 47, ""English"": 50, ""Physics"": 61, ""Chemistry"": 31, ""Civic Education"": 61, ""Visual Art"": 55, ""Further Mathematics"": 30, ""Data Processing"": 68}, ""Term_2"": {""Mathematics"": 63, ""English"": 56, ""Physics"": 43, ""Chemistry"": 40, ""Civic Education"": 42, ""Visual Art"": 61, ""Further Mathematics"": 85, ""Data Processing"": 59}, ""Term_3"": {""Mathematics"": 59, ""English"": 56, ""Physics"": 32, ""Chemistry"": 34, ""Civic Education"": 38, ""Visual Art"": 66, ""Further Mathematics"": 44, ""Data Processing"": 66}, ""Term_4"": {""Mathematics"": 46, ""English"": 60, ""Physics"": 56, ""Chemistry"": 61, ""Civic Education"": 32, ""Visual Art"": 90, ""Further Mathematics"": 47, ""Data Processing"": 51}, ""Term_5"": {""Mathematics"": 49, ""English"": 95, ""Physics"": 52, ""Chemistry"": 34, ""Civic Education"": 48, ""Visual Art"": 38, ""Further Mathematics"": 68, ""Data Processing"": 57}, ""Term_6"": {""Mathematics"": 92, ""English"": 68, ""Physics"": 69, ""Chemistry"": 36, ""Civic Education"": 52, ""Visual Art"": 36, ""Further Mathematics"": 64, ""Data Processing"": 61}, ""Term_7"": {""Mathematics"": 98, ""English"": 43, ""Physics"": 36, ""Chemistry"": 32, ""Civic Education"": 70, ""Visual Art"": 53, ""Further Mathematics"": 43, ""Data Processing"": 57}, ""Term_8"": {""Mathematics"": 42, ""English"": 53, ""Physics"": 69, ""Chemistry"": 49, ""Civic Education"": 31, ""Visual Art"": 53, ""Further Mathematics"": 45, ""Data Processing"": 60}}",83.42
